2025-06-10 09:28:48,584 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Starting comprehensive threshold optimization...
2025-06-10 09:28:48,585 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Loaded validation results from results/primary_validation_20250610_092434.json
2025-06-10 09:28:48,585 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Results contain 3 sites with 3 successful validations
2025-06-10 09:28:48,585 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Detection Analysis:
2025-06-10 09:28:48,585 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Mean detection rate: 97.7%
2025-06-10 09:28:48,597 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Mean expected rate: 12.3%
2025-06-10 09:28:48,597 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Over-detection ratio: 7.9x
2025-06-10 09:28:48,597 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Accuracy score: 0.146
2025-06-10 09:28:48,598 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Detection Analysis:
2025-06-10 09:28:48,598 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Mean detection rate: 97.7%
2025-06-10 09:28:48,598 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Mean expected rate: 12.3%
2025-06-10 09:28:48,598 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Over-detection ratio: 7.9x
2025-06-10 09:28:48,599 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Accuracy score: 0.146
2025-06-10 09:28:48,599 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Calculated optimal thresholds:
2025-06-10 09:28:48,599 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   ndre_threshold: 0.100
2025-06-10 09:28:48,599 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   min_detection_threshold: 0.040
2025-06-10 09:28:48,599 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   kelp_fai_threshold: 0.040
2025-06-10 09:28:48,599 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for kelp_farm site:
2025-06-10 09:28:48,600 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Environmental conditions: cloud_cover=15.0%, turbidity=medium
2025-06-10 09:28:48,600 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for open_ocean site:
2025-06-10 09:28:48,600 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer |   Environmental conditions: cloud_cover=20.0%, turbidity=low
2025-06-10 09:28:48,600 | INFO | kelpie_carbon_v1.optimization.threshold_optimizer | Created adaptive config for coastal site:
